TenureGroup,用户数,流失人数,流失率,平均订单数,平均满意度,平均距上次下单天数
新用户,508,272,0.5354330708661418,1.889763779527559,3.1791338582677167,2.8838582677165356
0-6个月,1642,425,0.25883069427527405,2.6839220462850184,3.0907429963459196,4.046894031668697
7-12个月,1584,156,0.09848484848484848,2.7474747474747474,2.98989898989899,4.381944444444445
13-24个月,1467,95,0.06475800954328562,3.704839809134288,3.087934560327198,5.316973415132924
24个月以上,429,0,0.0,3.5454545454545454,3.0536130536130535,5.256410256410256
